ip,status,error,timeTaken
10.0.156.4,success,,2960.65
10.0.129.101,success,,2959.60
10.0.156.14,success,,2963.12
10.0.157.32,success,,2961.73
10.0.156.10,success,,2963.36
10.0.156.5,success,,2962.90
10.0.156.32,success,,2961.17
10.0.158.11,success,,2963.37
10.0.156.66,success,,2961.13
10.0.158.14,success,,2964.63
10.0.156.40,success,,2960.66
10.0.156.13,success,,2964.18
10.0.156.31,success,,2962.99
10.0.156.21,success,,2964.30
10.0.158.10,success,,2964.37
10.0.158.33,success,,2963.02
10.0.156.29,success,,2964.19
10.0.156.3,success,,2967.68
10.0.156.30,success,,2964.99
10.0.156.20,success,,2965.60
10.0.158.8,success,,2966.67
10.0.156.12,success,,2968.73
10.0.156.28,success,,2966.92
10.0.158.16,success,,2968.16
10.0.158.5,success,,2969.08
10.0.156.11,success,,2970.39
10.0.158.47,success,,2967.24
10.0.158.17,success,,2970.37
10.0.156.22,success,,2969.75
10.0.156.2,success,,2970.23
10.0.158.15,success,,2971.58
10.0.156.39,success,,2967.30
10.0.156.19,success,,2970.25
10.0.156.49,success,,2969.30
10.0.158.23,success,,2969.97
10.0.158.61,success,,2969.31
10.0.158.35,success,,2970.01
10.0.158.18,success,,2973.61
10.0.156.68,success,,2969.03
10.0.158.72,success,,2971.46
10.0.158.7,success,,2973.74
10.0.158.28,success,,2972.40
10.0.158.37,success,,2971.40
10.0.158.69,success,,2971.80
10.0.158.22,success,,2972.33
10.0.156.65,success,,2972.59
10.0.158.12,success,,2975.16
10.0.158.9,success,,2975.13
10.0.158.32,success,,2974.26
10.0.158.36,success,,2974.87
10.0.158.20,success,,2975.13
10.0.158.2,success,,2976.81
10.0.158.31,success,,2974.75
10.0.158.44,success,,2977.70
10.0.156.64,success,,2976.25
10.0.158.65,success,,2976.68
10.0.158.6,success,,2980.49
10.0.158.13,success,,2982.59
10.0.158.34,success,,2978.50
10.0.158.27,success,,2980.04
10.0.156.67,success,,2980.04
10.0.158.4,success,,2982.04
10.0.158.41,success,,2978.06
10.0.158.30,success,,2981.14
10.0.156.38,success,,2979.75
10.0.158.56,success,,2980.79
10.0.156.82,success,,2979.54
10.0.157.46,success,,2979.77
10.0.158.45,success,,2981.63
10.0.158.62,success,,2983.46
10.0.158.52,success,,2982.63
10.0.158.29,success,,2982.43
10.0.156.37,success,,2983.20
10.0.158.39,success,,2982.29
10.0.156.73,success,,2979.97
10.0.158.25,success,,2982.82
10.0.156.41,success,,2984.77
10.0.158.60,success,,2982.57
10.0.156.75,success,,2981.06
10.0.158.24,success,,2983.73
10.0.158.50,success,,2981.12
10.0.158.53,success,,2984.94
10.0.158.70,success,,2985.90
10.0.158.55,success,,2983.90
10.0.156.1,success,,2990.33
10.0.158.66,success,,2984.80
10.0.158.78,success,,2982.38
10.0.158.64,success,,2984.24
10.0.158.42,success,,2984.18
10.0.156.50,success,,2984.92
10.0.158.59,success,,2986.03
10.0.156.77,success,,2984.73
10.0.158.77,success,,2983.70
10.0.158.46,success,,2988.30
10.0.155.79,success,,2983.32
10.0.158.83,success,,2985.46
10.0.158.74,success,,2985.06
10.0.129.103,success,,2984.93
10.0.158.67,success,,2987.85
10.0.158.85,success,,2986.57
10.0.158.1,success,,2996.82
10.0.158.87,success,,2986.26
10.0.158.49,success,,2990.01
10.0.158.51,success,,2990.71
10.0.158.88,success,,2988.23
10.0.156.83,success,,2989.80
10.0.155.71,success,,2987.45
10.0.158.21,success,,2992.05
10.0.155.72,success,,2987.10
10.0.158.19,success,,2991.62
10.0.158.48,success,,2990.23
10.0.158.90,success,,2991.09
10.0.158.43,success,,2997.55
10.0.158.63,success,,2992.10
10.0.158.80,success,,2992.70
10.0.156.85,success,,2993.88
10.0.129.102,success,,2993.47
10.0.158.40,success,,2995.97
10.0.156.74,success,,2994.52
10.0.158.75,success,,2993.64
10.0.156.84,success,,2995.28
10.0.156.76,success,,2996.63
10.0.158.57,success,,2998.01
10.0.155.75,success,,2993.93
10.0.158.71,success,,2998.36
10.0.158.86,success,,2995.78
10.0.155.83,success,,2992.91
10.0.155.89,success,,2993.38
10.0.155.84,success,,2995.26
10.0.155.73,success,,2995.61
10.0.158.38,success,,2999.67
10.0.158.68,success,,2999.77
10.0.158.79,success,,2997.53
10.0.155.80,success,,2996.52
10.0.155.88,success,,2997.44
10.0.156.55,success,,2997.21
10.0.155.90,success,,2996.83
10.0.155.81,success,,2998.26
10.0.155.67,success,,2998.20
10.0.155.149,success,,2996.14
10.0.158.84,success,,2999.57
10.0.156.56,success,,2998.92
10.0.158.58,success,,3001.77
10.0.158.76,success,,3000.62
10.0.158.54,success,,3003.02
10.0.155.87,success,,2998.97
10.0.155.78,success,,2999.46
10.0.156.58,success,,3000.13
10.0.155.65,success,,3000.98
10.0.156.48,success,,3000.35
10.0.155.68,success,,3001.32
10.0.156.43,success,,3000.27
10.0.158.73,success,,3004.04
10.0.155.76,success,,3002.18
10.0.161.156,success,,2998.06
10.0.156.59,success,,3004.21
10.0.155.86,success,,3002.65
10.0.155.138,success,,3002.13
10.0.155.74,success,,3003.62
10.0.156.47,success,,3003.81
10.0.156.44,success,,3003.46
10.0.156.46,success,,3004.49
10.0.156.57,success,,3004.95
10.0.155.69,success,,3005.80
10.0.155.143,success,,3003.17
10.0.155.137,success,,3003.44
10.0.161.113,success,,3002.70
10.0.155.139,success,,3005.93
10.0.155.82,success,,3008.39
10.0.156.42,success,,3007.99
10.0.155.152,success,,3009.23
10.0.161.142,success,,3006.33
10.0.155.70,success,,3011.40
10.0.161.110,success,,3005.77
10.0.155.146,success,,3010.52
10.0.129.104,success,,3005.95
10.0.156.52,success,,3009.21
10.0.155.144,success,,3010.39
10.0.160.100,success,,3008.59
10.0.156.45,success,,3011.61
10.0.157.60,success,,3011.21
10.0.155.77,success,,3013.05
10.0.155.145,success,,3012.63
10.0.155.127,success,,3012.39
10.0.156.51,success,,3012.86
10.0.161.92,success,,3011.79
10.0.161.166,success,,3011.50
10.0.160.109,success,,3009.19
10.0.155.140,success,,3014.10
10.0.157.44,success,,3016.27
10.0.160.99,success,,3013.35
10.0.162.143,success,,3009.76
10.0.155.136,success,,3014.80
10.0.162.147,success,,3012.22
10.0.162.127,success,,3014.00
10.0.155.148,success,,3016.66
10.0.161.170,success,,3013.72
10.0.155.147,success,,3016.70
10.0.155.66,success,,3016.52
10.0.155.150,success,,3017.78
10.0.158.81,success,,3021.82
10.0.162.136,success,,3016.12
10.0.155.85,success,,3020.13
10.0.161.162,success,,3016.68
10.0.163.177,success,,3017.87
10.0.161.116,success,,3018.37
10.0.160.118,success,,3012.38
10.0.129.105,success,,3011.93
10.0.161.135,success,,3018.78
10.0.162.118,success,,3020.40
10.0.155.141,success,,3021.69
10.0.162.130,success,,3020.76
10.0.161.98,success,,3021.87
10.0.161.94,success,,3021.97
10.0.161.171,success,,3021.17
10.0.160.102,success,,3022.20
10.0.162.119,success,,3022.58
10.0.161.148,success,,3020.83
10.0.160.134,success,,3022.46
10.0.157.59,success,,3025.24
10.0.160.129,success,,3022.23
10.0.160.141,success,,3023.52
10.0.160.172,success,,3022.86
10.0.161.114,success,,3025.28
10.0.160.130,success,,3023.12
10.0.160.122,success,,3019.36
10.0.161.128,success,,3023.67
10.0.155.142,success,,3028.05
10.0.161.111,success,,3024.53
10.0.161.130,success,,3022.04
10.0.155.128,success,,3029.52
10.0.161.161,success,,3026.39
10.0.160.119,success,,3025.00
10.0.161.127,success,,3027.79
10.0.155.151,success,,3031.81
10.0.161.125,success,,3027.15
10.0.161.101,success,,3021.35
10.0.161.141,success,,3027.49
10.0.161.138,success,,3026.39
10.0.160.173,success,,3029.30
10.0.160.113,success,,3028.75
10.0.160.107,success,,3024.05
10.0.160.132,success,,3030.95
10.0.160.178,success,,3031.52
10.0.161.169,success,,3032.81
10.0.161.144,success,,3028.09
10.0.161.176,success,,3033.29
10.0.161.179,success,,3032.66
10.0.160.121,success,,3024.20
10.0.160.111,success,,3032.61
10.0.160.127,success,,3032.09
10.0.160.140,success,,3027.91
10.0.162.146,success,,3025.71
10.0.160.170,success,,3033.55
10.0.161.150,success,,3036.21
10.0.160.135,success,,3034.77
10.0.161.100,success,,3029.09
10.0.161.146,success,,3030.99
10.0.161.137,success,,3030.58
10.0.160.139,success,,3029.87
10.0.161.102,success,,3030.75
10.0.161.177,success,,3036.36
10.0.160.103,success,,3032.03
10.0.161.108,success,,3032.20
10.0.162.148,success,,3039.91
10.0.162.145,success,,3033.16
10.0.160.169,success,,3038.98
10.0.160.171,success,,3040.27
10.0.162.140,success,,3035.69
10.0.160.106,success,,3035.21
10.0.160.123,success,,3039.24
10.0.160.115,success,,3039.20
10.0.160.175,success,,3036.90
10.0.112.102,success,,3029.93
10.0.161.107,success,,3036.96
10.0.162.141,success,,3035.29
10.0.161.129,success,,3034.82
10.0.117.104,success,,3032.29
10.0.161.120,success,,3032.57
10.0.161.106,success,,3038.92
10.0.160.164,success,,3035.23
10.0.161.117,success,,3041.52
10.0.160.108,success,,3043.41
10.0.161.131,success,,3041.50
10.0.162.137,success,,3041.75
10.0.161.133,success,,3041.68
10.0.161.136,success,,3041.88
10.0.162.110,success,,3040.29
10.0.112.101,success,,3037.18
10.0.160.131,success,,3044.38
10.0.161.132,success,,3043.76
10.0.161.160,success,,3048.08
10.0.161.164,success,,3042.49
10.0.160.138,success,,3043.52
10.0.162.150,success,,3046.60
10.0.161.152,success,,3046.43
10.0.161.180,success,,3045.14
10.0.160.112,success,,3042.44
10.0.163.175,success,,3044.69
10.0.160.153,success,,3047.15
10.0.163.173,success,,3044.32
10.0.161.123,success,,3047.22
10.0.160.179,success,,3047.36
10.0.161.174,success,,3044.34
10.0.160.117,success,,3047.36
10.0.161.118,success,,3045.75
10.0.160.174,success,,3048.87
10.0.161.140,success,,3049.54
10.0.162.149,success,,3051.93
10.0.160.133,success,,3051.64
10.0.162.120,success,,3049.47
10.0.160.110,success,,3050.15
10.0.160.94,success,,3048.01
10.0.160.95,success,,3048.09
10.0.160.136,success,,3053.37
10.0.161.143,success,,3054.51
10.0.161.172,success,,3050.95
10.0.117.105,success,,3047.11
10.0.160.165,success,,3052.31
10.0.161.105,success,,3049.88
10.0.161.112,success,,3052.77
10.0.163.180,success,,3052.16
10.0.161.165,success,,3052.93
10.0.161.145,success,,3054.43
10.0.161.119,success,,3051.16
10.0.161.178,success,,3063.98
10.0.161.103,success,,3053.74
10.0.160.137,success,,3055.44
10.0.160.180,success,,3056.45
10.0.160.96,success,,3053.37
10.0.161.139,success,,3066.00
10.0.160.163,success,,3054.72
10.0.160.98,success,,3054.74
10.0.161.168,success,,3058.44
10.0.161.122,success,,3053.63
10.0.161.97,success,,3056.48
10.0.161.159,success,,3057.14
10.0.161.96,success,,3060.32
10.0.160.105,success,,3061.86
10.0.162.129,success,,3058.97
10.0.160.125,success,,3061.99
10.0.160.166,success,,3061.66
10.0.161.124,success,,3062.10
10.0.158.26,success,,3085.65
10.0.163.46,success,,3056.80
10.0.155.153,success,,3077.52
10.0.161.91,success,,3061.49
10.0.160.126,success,,3061.32
10.0.161.104,success,,3062.41
10.0.160.177,success,,3062.01
10.0.161.167,success,,3062.78
10.0.162.50,success,,3060.46
10.0.160.92,success,,3063.56
10.0.162.139,success,,3065.11
10.0.160.91,success,,3062.90
10.0.161.95,success,,3064.82
10.0.161.134,success,,3068.73
10.0.160.168,success,,3067.24
10.0.163.88,success,,3061.52
10.0.162.47,success,,3063.39
10.0.160.116,success,,3066.30
10.0.163.52,success,,3061.66
10.0.161.155,success,,3065.14
10.0.162.138,success,,3065.85
10.0.160.124,success,,3067.83
10.0.163.28,success,,3064.30
10.0.160.142,success,,3073.18
10.0.162.53,success,,3065.45
10.0.163.90,success,,3064.73
10.0.160.144,success,,3068.96
10.0.160.93,success,,3068.05
10.0.162.153,success,,3069.05
10.0.161.115,success,,3068.81
10.0.163.35,success,,3064.27
10.0.161.109,success,,3069.39
10.0.163.64,success,,3066.00
10.0.160.120,success,,3070.99
10.0.160.128,success,,3071.04
10.0.160.114,success,,3070.62
10.0.163.82,success,,3068.32
10.0.163.16,success,,3066.91
10.0.163.89,success,,3070.07
10.0.161.149,success,,3072.21
10.0.162.49,success,,3071.82
10.0.160.101,success,,3073.77
10.0.163.32,success,,3071.41
10.0.163.18,success,,3068.52
10.0.163.70,success,,3071.19
10.0.162.54,success,,3072.97
10.0.163.54,success,,3072.67
10.0.163.87,success,,3073.91
10.0.163.13,success,,3072.61
10.0.161.157,success,,3077.64
10.0.162.48,success,,3077.43
10.0.163.86,success,,3075.11
10.0.163.65,success,,3075.51
10.0.163.48,success,,3075.89
10.0.163.29,success,,3078.15
10.0.160.104,success,,3079.59
10.0.163.12,success,,3075.55
10.0.163.31,success,,3078.93
10.0.163.49,success,,3078.21
10.0.163.30,success,,3079.69
10.0.163.51,success,,3078.57
10.0.163.71,success,,3079.70
10.0.161.154,success,,3082.95
10.0.163.83,success,,3080.88
10.0.163.67,success,,3079.77
10.0.160.176,success,,3085.31
10.0.162.82,success,,3079.32
10.0.162.31,success,,3079.10
10.0.163.50,success,,3081.10
10.0.162.52,success,,3085.11
10.0.162.34,success,,3079.73
10.0.161.147,success,,3092.22
10.0.162.86,success,,3081.06
10.0.163.85,success,,3082.86
10.0.155.25,success,,3080.83
10.0.162.83,success,,3081.90
10.0.163.11,success,,3083.69
10.0.155.135,success,,3081.03
10.0.163.69,success,,3083.99
10.0.162.64,success,,3082.44
10.0.162.46,success,,3082.20
10.0.163.84,success,,3087.09
10.0.163.53,success,,3086.14
10.0.162.68,success,,3084.08
10.0.155.134,success,,3083.25
10.0.163.33,success,,3088.59
10.0.155.129,success,,3083.34
10.0.163.14,success,,3086.16
10.0.161.121,success,,3094.16
10.0.163.34,success,,3087.07
10.0.162.35,success,,3086.17
10.0.163.68,success,,3088.07
10.0.140.59,success,,3081.38
10.0.156.23,success,,3085.03
10.0.163.47,success,,3089.68
10.0.161.173,success,,3103.52
10.0.155.131,success,,3086.69
10.0.155.123,success,,3086.45
10.0.156.7,success,,3085.30
10.0.163.15,success,,3092.93
10.0.160.162,success,,3091.70
10.0.163.10,success,,3093.90
10.0.140.47,success,,3090.91
10.0.156.16,success,,3091.29
10.0.162.32,success,,3093.21
10.0.163.17,success,,3095.28
10.0.162.30,success,,3093.96
10.0.162.66,success,,3094.97
10.0.161.6,success,,3092.29
10.0.162.36,success,,3095.31
10.0.162.72,success,,3096.10
10.0.155.124,success,,3094.54
10.0.162.65,success,,3095.85
10.0.162.28,success,,3096.65
10.0.157.136,success,,3094.27
10.0.155.121,success,,3096.47
10.0.155.132,success,,3097.06
10.0.163.66,success,,3100.91
10.0.162.51,success,,3104.40
10.0.155.122,success,,3098.01
10.0.161.158,success,,3110.06
10.0.114.109,success,,3093.97
10.0.162.70,success,,3100.62
10.0.162.67,success,,3099.79
10.0.140.53,success,,3096.13
10.0.156.86,success,,3099.15
10.0.140.49,success,,3098.97
10.0.155.130,success,,3100.25
10.0.115.108,success,,3097.40
10.0.162.33,success,,3102.29
10.0.114.101,success,,3100.06
10.0.129.113,success,,3094.71
10.0.162.84,success,,3105.54
10.0.140.48,success,,3102.55
10.0.157.37,success,,3103.42
10.0.115.109,success,,3099.94
10.0.115.106,success,,3101.47
10.0.140.54,success,,3101.36
10.0.162.85,success,,3107.00
10.0.140.61,success,,3101.39
10.0.155.120,success,,3105.72
10.0.140.67,success,,3101.41
10.0.162.89,success,,3105.28
10.0.140.50,success,,3104.95
10.0.163.1,success,,3105.51
10.0.140.57,success,,3103.86
10.0.157.45,success,,3107.20
10.0.114.107,success,,3104.08
10.0.129.106,success,,3101.21
10.0.140.60,success,,3104.90
10.0.140.72,success,,3105.71
10.0.162.90,success,,3110.47
10.0.162.88,success,,3111.23
10.0.161.5,success,,3111.13
10.0.129.108,success,,3105.42
10.0.161.7,success,,3112.08
10.0.140.68,success,,3109.32
10.0.114.102,success,,3113.77
10.0.114.108,success,,3112.85
10.0.129.110,success,,3110.36
10.0.129.111,success,,3110.66
10.0.155.119,success,,3118.60
10.0.114.103,success,,3116.66
10.0.161.9,success,,3117.97
10.0.140.64,success,,3115.34
10.0.129.112,success,,3112.27
10.0.129.114,success,,3112.30
10.0.129.107,success,,3113.50
10.0.115.105,success,,3118.35
10.0.140.76,success,,3115.30
10.0.140.73,success,,3116.56
10.0.140.69,success,,3117.14
10.0.140.65,success,,3117.91
10.0.162.87,success,,3122.01
10.0.140.77,success,,3116.82
10.0.115.110,success,,3118.67
10.0.129.109,success,,3116.09
10.0.115.111,success,,3119.15
10.0.114.105,success,,3121.24
10.0.129.120,success,,3115.68
10.0.114.104,success,,3122.05
10.0.114.106,success,,3121.74
10.0.140.66,success,,3120.89
10.0.115.102,success,,3123.55
10.0.115.101,success,,3124.10
10.0.140.51,success,,3124.06
10.0.115.104,success,,3124.04
10.0.140.74,success,,3121.63
10.0.140.63,success,,3123.59
10.0.140.75,success,,3123.68
10.0.155.92,success,,3124.66
10.0.129.115,success,,3122.06
10.0.161.8,success,,3129.28
10.0.140.71,success,,3125.87
10.0.155.168,success,,3121.47
10.0.140.62,success,,3127.41
10.0.140.80,success,,3125.27
10.0.155.133,success,,3132.77
10.0.140.58,success,,3128.93
10.0.129.117,success,,3124.48
10.0.129.122,success,,3123.60
10.0.140.55,success,,3132.19
10.0.155.177,success,,3125.17
10.0.129.119,success,,3128.02
10.0.129.126,success,,3126.78
10.0.155.166,success,,3127.60
10.0.140.52,success,,3134.73
10.0.129.116,success,,3129.88
10.0.140.79,success,,3132.13
10.0.129.121,success,,3129.91
10.0.129.123,success,,3129.17
10.0.155.169,success,,3128.32
10.0.156.92,success,,3129.91
10.0.156.98,success,,3128.81
10.0.140.81,success,,3134.05
10.0.115.103,success,,3138.83
10.0.155.155,success,,3131.12
10.0.140.83,success,,3135.16
10.0.129.127,success,,3132.13
10.0.140.70,success,,3138.61
10.0.140.84,success,,3137.43
10.0.140.82,success,,3138.24
10.0.156.95,success,,3137.49
10.0.155.176,success,,3135.03
10.0.155.167,success,,3135.39
10.0.155.115,success,,3140.87
10.0.155.91,success,,3141.13
10.0.117.106,success,,3134.29
10.0.156.120,success,,3135.39
10.0.156.110,success,,3136.38
10.0.155.163,success,,3139.66
10.0.155.173,success,,3140.64
10.0.155.179,success,,3139.76
10.0.155.156,success,,3143.89
10.0.115.107,success,,3148.61
10.0.155.180,success,,3142.63
10.0.155.164,success,,3142.51
10.0.155.175,success,,3141.49
10.0.155.172,success,,3142.17
10.0.129.118,success,,3144.45
10.0.155.165,success,,3144.99
10.0.155.178,success,,3142.90
10.0.156.118,success,,3142.03
10.0.156.116,success,,3142.26
10.0.155.94,success,,3149.16
10.0.158.82,success,,3145.06
10.0.156.106,success,,3142.91
10.0.156.117,success,,3143.63
10.0.155.171,success,,3145.61
10.0.156.97,success,,3145.11
10.0.156.151,success,,3143.58
10.0.156.93,success,,3145.86
10.0.156.103,success,,3148.48
10.0.156.107,success,,3147.83
10.0.140.78,success,,3155.31
10.0.156.135,success,,3148.18
10.0.156.101,success,,3151.24
10.0.156.142,success,,3149.70
10.0.155.174,success,,3153.25
10.0.156.102,success,,3153.19
10.0.156.111,success,,3153.25
10.0.156.112,success,,3155.30
10.0.156.115,success,,3155.78
10.0.156.131,success,,3155.53
10.0.156.113,success,,3157.68
10.0.155.154,success,,3162.24
10.0.156.105,success,,3158.30
10.0.156.109,success,,3158.92
10.0.156.133,success,,3157.17
10.0.162.106,success,,3155.53
10.0.156.114,success,,3159.95
10.0.156.104,success,,3161.08
10.0.156.119,success,,3160.31
10.0.156.147,success,,3160.12
10.0.156.91,success,,3162.44
10.0.156.121,success,,3160.92
10.0.156.96,success,,3162.75
10.0.155.170,success,,3165.93
10.0.156.152,success,,3160.08
10.0.156.130,success,,3160.73
10.0.156.99,success,,3164.67
10.0.156.149,success,,3162.67
10.0.156.153,success,,3161.04
10.0.156.127,success,,3162.71
10.0.156.141,success,,3163.11
10.0.156.137,success,,3164.31
10.0.156.123,success,,3162.90
10.0.156.122,success,,3162.56
10.0.162.133,success,,3161.57
10.0.162.134,success,,3162.65
10.0.156.140,success,,3164.58
10.0.156.126,success,,3163.74
10.0.156.125,success,,3164.71
10.0.156.144,success,,3166.32
10.0.156.129,success,,3166.56
10.0.156.94,success,,3170.47
10.0.156.146,success,,3167.14
10.0.157.145,success,,3163.70
10.0.156.132,success,,3169.85
10.0.162.123,success,,3166.70
